数据库：分省年度数据 
时间：2022年 
地区	,地区生产总值 (亿元) 	,第一产业增加值 (亿元) 	,第二产业增加值 (亿元) 	,第三产业增加值 (亿元) 	,农林牧渔业增加值 (亿元) 	,工业增加值 (亿元) 	,建筑业增加值 (亿元) 	,批发和零售业增加值 (亿元) 	,交通运输、仓储和邮政业增加值 (亿元) 	,住宿和餐饮业增加值 (亿元) 	,金融业增加值 (亿元) 	,房地产业增加值 (亿元) 	,其他行业增加值 (亿元) 	,人均地区生产总值 (元/人) 	,
北京市	,45222.4	,111.5	,6960.4	,38150.6	,113.1	,5655.1	,1390.7	,3139.7	,945.7	,374.2	,7539.7	,5035.3	,21029.0	,206826	,
天津市	,16588.5	,273.2	,6092.7	,10222.7	,283.8	,5555.3	,608.8	,1420.2	,883.0	,151.4	,2347.5	,1029.3	,4309.4	,121261	,
河北省	,43198.3	,4408.4	,16406.7	,22383.3	,4700.8	,14123.7	,2338.7	,3609.3	,3197.6	,403.9	,2943.7	,2542.3	,9338.2	,58109	,
山西省	,25653.2	,1335.3	,12667.1	,11650.9	,1411.7	,11500.9	,1210.4	,1774.6	,1297.6	,271.1	,1360.5	,1209.3	,5617.1	,73705	,
内蒙古自治区	,23795.7	,2655.1	,10916.8	,10223.9	,2711.5	,9558.8	,1394.6	,1796.8	,1358.3	,305.4	,881.3	,999.9	,4789.1	,99128	,
辽宁省	,29739.7	,2598.0	,10924.1	,16217.5	,2687.9	,9484.3	,1519.0	,2745.8	,1407.9	,413.7	,1631.7	,1927.5	,7921.9	,70590	,
吉林省	,13121.4	,1689.1	,4274.9	,7157.4	,1742.3	,3503.9	,814.2	,824.4	,745.5	,195.2	,816.2	,843.2	,3636.3	,55564	,
黑龙江省	,16359.2	,3635.3	,4549.5	,8174.4	,3737.7	,4156.7	,490.3	,1332.7	,862.2	,214.0	,894.3	,958.1	,3713.2	,52568	,
上海市	,48594.5	,100.0	,11386.4	,37108.1	,106.9	,10772.7	,741.1	,6282.9	,1701.5	,388.2	,7841.8	,5479.3	,15280.1	,195788	,
江苏省	,124564.2	,4963.9	,55343.4	,64256.9	,5383.0	,46527.1	,8899.0	,13707.7	,4364.2	,1872.8	,8227.6	,8714.5	,26868.3	,146374	,
浙江省	,80770.0	,2185.2	,32873.3	,45711.5	,2253.8	,28326.2	,4639.9	,9863.1	,2356.9	,1369.4	,6729.4	,6574.9	,18656.4	,123153	,
安徽省	,45525.1	,3516.5	,17697.0	,24311.6	,3729.9	,12885.0	,4848.0	,4392.1	,2534.3	,910.6	,2781.0	,3119.7	,10324.6	,74387	,
福建省	,52099.6	,3077.5	,22470.0	,26552.1	,3195.2	,17495.2	,5041.4	,6699.6	,1713.4	,784.2	,3258.6	,3228.8	,10683.2	,124417	,
江西省	,31568.1	,2466.4	,12832.9	,16268.8	,2596.6	,10395.0	,2456.6	,2979.0	,1262.1	,575.8	,2041.0	,2169.5	,7092.5	,69802	,
山东省	,89519.4	,6296.2	,36037.2	,47186.0	,6775.4	,29170.1	,7019.1	,12184.6	,4175.1	,1294.4	,4733.6	,5297.0	,18870.1	,88053	,
河南省	,58807.4	,5731.0	,22122.5	,30953.9	,6166.0	,17128.2	,5082.6	,4789.1	,3034.6	,1130.8	,3102.1	,4109.1	,14264.9	,59537	,
湖北省	,53445.4	,4981.9	,19948.5	,28515.0	,5325.9	,16416.4	,3624.9	,4220.9	,2404.2	,1287.1	,2818.0	,3899.4	,13448.6	,91563	,
湖南省	,47957.9	,4601.2	,17519.8	,25836.8	,4876.9	,13717.5	,3817.1	,5067.1	,2070.5	,1014.6	,2406.0	,3031.5	,11956.7	,72521	,
广东省	,132547.1	,5350.0	,51341.4	,75855.7	,5541.7	,45547.5	,5956.4	,12571.5	,4410.5	,1958.6	,11685.7	,12107.0	,32768.3	,104611	,
广西壮族自治区	,26419.7	,4270.4	,8867.3	,13282.0	,4407.2	,7142.3	,1740.6	,2277.4	,1003.3	,372.5	,1492.9	,1867.8	,6115.5	,52399	,
海南省	,6912.8	,1417.8	,1281.4	,4213.6	,1472.4	,769.1	,519.6	,831.7	,257.2	,176.1	,482.5	,675.0	,1729.1	,67541	,
重庆市	,28771.8	,2012.6	,10477.4	,16281.8	,2060.1	,7942.2	,2556.2	,3058.2	,1234.6	,638.6	,2188.6	,1722.2	,7371.3	,89562	,
四川省	,57609.4	,5965.5	,20314.0	,31330.0	,6137.4	,16135.3	,4300.5	,5459.3	,2062.7	,1196.6	,3717.7	,4037.0	,14562.9	,68804	,
贵州省	,20579.5	,2862.2	,6360.7	,11356.7	,3015.9	,4948.6	,1420.0	,1987.1	,770.8	,445.7	,1534.3	,1183.2	,5273.9	,53398	,
云南省	,29301.1	,4001.9	,9985.8	,15313.4	,4079.9	,6934.3	,3060.0	,3107.6	,1149.7	,696.1	,1497.1	,1955.3	,6821.1	,62456	,
西藏自治区	,2235.4	,186.2	,770.2	,1279.0	,191.0	,266.8	,503.6	,125.0	,53.5	,32.0	,227.8	,92.9	,742.9	,61244	,
陕西省	,33035.6	,2574.9	,14264.7	,16196.0	,2712.7	,11992.6	,2458.4	,2561.7	,1310.2	,492.1	,2008.2	,2085.8	,7414.0	,83529	,
甘肃省	,11553.6	,1499.7	,3981.5	,6072.4	,1545.7	,3157.5	,835.5	,812.3	,530.8	,164.2	,917.6	,735.3	,2854.6	,46381	,
青海省	,3677.4	,382.6	,1618.7	,1676.1	,383.9	,1304.6	,314.0	,169.5	,137.4	,33.6	,278.8	,184.3	,871.3	,61857	,
宁夏回族自治区	,5168.1	,407.5	,2318.6	,2441.9	,428.6	,1998.4	,323.0	,283.7	,198.7	,61.8	,337.7	,270.0	,1266.1	,71137	,
新疆维吾尔自治区	,18550.5	,2653.8	,7312.7	,8584.0	,2801.8	,6137.6	,1270.4	,860.3	,937.1	,141.1	,1053.4	,899.4	,4449.3	,71679	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
