数据库：分省年度数据 
时间：2024年 
地区	,人口出生率 (‰) 	,人口死亡率 (‰) 	,人口自然增长率 (‰) 	,
北京市	,6.09	,6.08	,0.01	,
天津市	,4.99	,6.96	,-1.97	,
河北省	,5.90	,8.22	,-2.32	,
山西省	,6.94	,8.33	,-1.39	,
内蒙古自治区	,5.52	,8.36	,-2.84	,
辽宁省	,4.32	,9.62	,-5.30	,
吉林省	,4.17	,9.02	,-4.85	,
黑龙江省	,3.35	,9.69	,-6.34	,
上海市	,4.75	,6.28	,-1.53	,
江苏省	,4.98	,7.48	,-2.50	,
浙江省	,6.17	,6.53	,-0.36	,
安徽省	,6.17	,8.41	,-2.24	,
福建省	,6.95	,6.71	,0.24	,
江西省	,6.65	,7.23	,-0.58	,
山东省	,6.42	,8.09	,-1.67	,
河南省	,7.78	,7.89	,-0.11	,
湖北省	,5.38	,8.52	,-3.14	,
湖南省	,5.89	,8.93	,-3.04	,
广东省	,8.89	,5.20	,3.69	,
广西壮族自治区	,8.37	,7.49	,0.88	,
海南省	,9.37	,6.31	,3.06	,
重庆市	,5.99	,8.87	,-2.88	,
四川省	,6.41	,9.43	,-3.02	,
贵州省	,10.74	,7.74	,3.00	,
云南省	,8.62	,8.45	,0.17	,
西藏自治区	,13.87	,5.44	,8.43	,
陕西省	,7.36	,8.05	,-0.69	,
甘肃省	,8.00	,8.90	,-0.90	,
青海省	,10.11	,7.41	,2.70	,
宁夏回族自治区	,10.97	,6.45	,4.52	,
新疆维吾尔自治区	,9.42	,6.05	,3.37	,
数据来源：国家统计局
