数据库：分省年度数据 
时间： 
地区	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
北京市	,6372.68	,6181.10	,5714.36	,5932.31	,5483.89	,5817.10	,5785.92	,5430.79	,5081.26	,
天津市	,2134.20	,2027.51	,1846.69	,2141.06	,1923.11	,2410.41	,2106.24	,2310.36	,2723.50	,
河北省	,4310.85	,4286.60	,4056.30	,4167.62	,3826.46	,3738.99	,3513.86	,3233.83	,2849.87	,
山西省	,3542.24	,3479.37	,3453.99	,2834.47	,2296.57	,2347.75	,2292.70	,1867.00	,1557.00	,
内蒙古自治区	,3150.57	,3083.64	,2824.39	,2349.95	,2051.20	,2059.69	,1857.65	,1703.21	,2016.43	,
辽宁省	,2906.94	,2755.29	,2525.07	,2765.59	,2655.75	,2652.40	,2616.08	,2392.77	,2200.49	,
吉林省	,1191.39	,1074.84	,851.00	,1143.98	,1085.02	,1116.95	,1240.89	,1210.91	,1263.78	,
黑龙江省	,1452.34	,1396.15	,1290.66	,1300.51	,1152.51	,1262.76	,1282.60	,1243.31	,1148.41	,
上海市	,8374.17	,8312.50	,7608.00	,7771.80	,7046.30	,7165.10	,7108.15	,6642.26	,6406.13	,
江苏省	,10038.16	,9930.18	,9258.88	,10015.16	,9058.99	,8802.36	,8630.16	,8171.53	,8121.23	,
浙江省	,8707.57	,8600.51	,8039.85	,8262.64	,7248.24	,7048.58	,6598.21	,5804.38	,5301.98	,
安徽省	,4041.64	,3939.16	,3589.14	,3498.19	,3216.01	,3182.71	,3048.67	,2812.45	,2672.79	,
福建省	,3615.29	,3592.04	,3339.21	,3383.40	,3079.04	,3052.93	,3007.41	,2809.03	,2654.83	,
江西省	,3066.92	,3059.59	,2948.33	,2812.23	,2507.54	,2487.39	,2373.01	,2247.06	,2151.47	,
山东省	,7711.74	,7464.78	,7104.10	,7284.46	,6559.93	,6526.71	,6485.40	,6098.63	,5860.18	,
河南省	,4392.67	,4518.10	,4250.35	,4353.92	,4168.84	,4041.89	,3766.02	,3407.22	,3153.47	,
湖北省	,3937.88	,3692.79	,3281.13	,3283.32	,2511.54	,3388.57	,3307.08	,3248.32	,3102.06	,
湖南省	,3449.27	,3360.51	,3101.76	,3250.69	,3008.66	,3007.15	,2860.84	,2757.82	,2697.88	,
广东省	,13533.98	,13850.78	,13260.88	,14105.04	,12923.85	,12654.53	,12105.26	,11320.35	,10390.35	,
广西壮族自治区	,1837.32	,1783.80	,1687.72	,1800.15	,1716.94	,1811.89	,1681.45	,1615.13	,1556.27	,
海南省	,890.51	,900.71	,832.43	,921.16	,816.06	,814.14	,752.67	,674.11	,637.51	,
重庆市	,2595.55	,2440.77	,2103.42	,2285.45	,2094.85	,2134.93	,2265.54	,2252.38	,2227.91	,
四川省	,5635.60	,5529.09	,4880.55	,4773.15	,4260.89	,4070.83	,3911.01	,3577.99	,3388.85	,
贵州省	,2170.00	,2078.37	,1886.41	,1969.39	,1786.80	,1767.47	,1726.85	,1613.84	,1561.34	,
云南省	,2193.68	,2149.44	,1949.46	,2278.29	,2116.69	,2073.56	,1994.35	,1886.17	,1812.29	,
西藏自治区	,277.19	,236.62	,179.63	,215.62	,220.99	,221.99	,230.35	,185.83	,155.99	,
陕西省	,3393.28	,3437.60	,3311.57	,2775.42	,2257.31	,2287.90	,2243.14	,2006.69	,1833.99	,
甘肃省	,1051.89	,1003.58	,907.65	,1001.86	,874.55	,850.49	,871.05	,815.73	,786.97	,
青海省	,370.45	,381.34	,329.10	,328.76	,297.99	,282.25	,272.89	,246.20	,238.51	,
宁夏回族自治区	,516.59	,502.31	,460.15	,460.01	,419.44	,423.58	,436.52	,417.59	,387.66	,
新疆维吾尔自治区	,2409.69	,2179.69	,1889.76	,1618.61	,1477.22	,1577.63	,1531.42	,1466.52	,1298.95	,
注：1. 地方财政收入均为本级收入,不包括国内外债务收入。
数据来源：国家统计局
