数据库：分省年度数据 
时间： 
地区	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
北京市	,35.5	,36.4	,37.2	,29.0	,7.4	,7.9	,8.1	,8.0	,
天津市	,42.8	,25.4	,27.5	,27.0	,26.1	,25.8	,26.0	,25.8	,
河北省	,9.3	,20.5	,40.2	,38.5	,36.0	,38.0	,39.9	,39.7	,
山西省	,26.4	,19.9	,20.0	,27.7	,21.3	,24.6	,26.5	,26.1	,
内蒙古自治区	,26.2	,29.0	,30.5	,30.0	,28.1	,27.0	,27.1	,26.7	,
辽宁省	,55.9	,48.5	,47.7	,50.7	,45.6	,44.4	,42.7	,47.3	,
吉林省	,24.2	,19.6	,19.1	,20.6	,23.9	,26.8	,26.3	,25.7	,
黑龙江省	,15.1	,20.2	,28.5	,31.0	,34.7	,39.4	,39.7	,39.6	,
上海市	,76.3	,14.6	,66.9	,19.7	,19.3	,19.4	,22.1	,24.3	,
江苏省	,64.7	,62.9	,49.1	,36.7	,35.1	,34.4	,34.7	,35.2	,
浙江省	,47.2	,37.2	,45.3	,42.1	,34.4	,34.1	,33.8	,33.9	,
安徽省	,16.6	,17.9	,25.4	,30.0	,26.8	,28.1	,29.0	,30.4	,
福建省	,25.1	,28.3	,38.0	,35.7	,16.8	,17.3	,17.1	,16.3	,
江西省	,36.5	,28.5	,29.9	,29.9	,27.5	,35.1	,32.3	,31.3	,
山东省	,33.1	,20.4	,62.4	,46.7	,44.2	,46.5	,45.7	,45.8	,
河南省	,65.8	,54.6	,65.3	,62.2	,49.4	,48.6	,40.7	,43.6	,
湖北省	,42.7	,51.2	,51.3	,55.3	,37.6	,36.1	,37.1	,32.9	,
湖南省	,18.2	,25.3	,27.7	,31.4	,31.1	,40.4	,44.5	,44.9	,
广东省	,114.6	,53.9	,82.5	,73.9	,36.9	,36.6	,37.1	,38.0	,
广西壮族自治区	,21.0	,22.8	,22.7	,22.9	,19.7	,16.7	,14.7	,18.1	,
海南省	,11.2	,10.9	,10.1	,7.9	,5.6	,5.5	,5.5	,5.1	,
重庆市	,34.9	,21.9	,18.9	,29.6	,17.5	,13.1	,14.3	,15.7	,
四川省	,83.1	,51.6	,66.4	,54.4	,50.4	,53.3	,55.8	,56.3	,
贵州省	,26.5	,32.9	,32.0	,19.5	,15.3	,15.1	,14.9	,14.8	,
云南省	,38.6	,32.5	,30.0	,31.9	,22.9	,20.9	,19.8	,20.1	,
西藏自治区	,0.7	,1.8	,1.8	,2.1	,2.1	,2.1	,1.9	,1.8	,
陕西省	,19.5	,23.8	,27.7	,24.5	,23.8	,24.1	,23.4	,22.7	,
甘肃省	,20.5	,13.4	,13.1	,12.2	,10.8	,10.0	,9.6	,9.8	,
青海省	,2.7	,2.1	,2.8	,3.1	,3.1	,4.6	,4.7	,4.6	,
宁夏回族自治区	,16.9	,10.9	,7.0	,5.6	,5.1	,5.4	,5.1	,5.1	,
新疆维吾尔自治区	,18.3	,8.8	,8.9	,9.4	,8.4	,9.5	,10.0	,9.7	,
数据来源：国家统计局
