数据库：分省年度数据 
时间：2024年 
地区	,城镇单位就业人员 (万人) 	,农林牧渔业城镇单位就业人员 (万人) 	,采矿业城镇单位就业人员 (万人) 	,制造业城镇单位就业人员 (万人) 	,电力、热力、燃气及水生产和供应业城镇单位就业人员 (万人) 	,建筑业城镇单位就业人员 (万人) 	,交通运输、仓储和邮政业城镇单位就业人员 (万人) 	,信息传输、软件和信息技术服务业城镇单位就业人员 (万人) 	,批发和零售业城镇单位就业人员 (万人) 	,住宿和餐饮业城镇单位就业人员 (万人) 	,金融业城镇单位就业人员 (万人) 	,房地产业城镇单位就业人员 (万人) 	,租赁和商务服务业城镇单位就业人员 (万人) 	,科学研究和技术服务业城镇单位就业人员 (万人) 	,水利、环境和公共设施管理业城镇单位就业人员 (万人) 	,居民服务、修理和其他服务业城镇单位就业人员 (万人) 	,教育业城镇单位就业人员 (万人) 	,卫生和社会工作城镇单位就业人员 (万人) 	,文化、体育和娱乐业城镇单位就业人员 (万人) 	,公共管理、社会保障和社会组织城镇单位就业人员 (万人) 	,
北京市	,763.6	,1.0	,2.2	,54.9	,9.2	,40.0	,46.2	,101.1	,49.7	,30.1	,70.6	,43.7	,79.8	,66.9	,11.4	,6.5	,49.2	,36.7	,19.7	,44.5	,
天津市	,226.0	,0.1	,4.8	,55.2	,3.9	,15.9	,14.1	,4.9	,12.7	,4.8	,13.7	,7.8	,12.5	,11.0	,1.9	,5.2	,21.1	,12.7	,1.7	,22.0	,
河北省	,567.9	,1.5	,14.9	,92.2	,17.9	,28.7	,26.7	,12.5	,20.7	,4.7	,33.6	,11.8	,17.7	,15.0	,11.2	,2.3	,91.2	,49.5	,5.8	,109.9	,
山西省	,443.6	,2.0	,88.5	,50.7	,17.5	,21.2	,22.8	,5.3	,14.3	,4.7	,21.5	,8.4	,13.5	,8.8	,10.2	,1.0	,51.1	,28.7	,5.1	,68.4	,
内蒙古自治区	,284.3	,5.1	,12.3	,39.6	,15.2	,7.5	,19.4	,4.2	,8.6	,2.7	,16.6	,7.3	,6.9	,6.4	,7.2	,0.6	,38.4	,22.8	,3.7	,59.8	,
辽宁省	,436.5	,4.5	,14.1	,84.3	,13.2	,18.3	,27.1	,13.8	,15.5	,6.1	,24.1	,11.1	,19.1	,9.1	,9.1	,1.5	,52.4	,33.6	,4.0	,75.6	,
吉林省	,240.6	,5.0	,4.6	,39.0	,8.5	,9.7	,12.2	,3.8	,7.8	,1.8	,15.6	,4.6	,5.7	,6.4	,7.8	,0.9	,35.5	,21.8	,3.7	,46.0	,
黑龙江省	,292.2	,14.8	,23.6	,21.9	,12.8	,8.6	,21.2	,5.3	,9.1	,1.7	,16.8	,4.4	,8.9	,6.2	,9.1	,1.1	,37.6	,26.6	,3.1	,59.3	,
上海市	,676.7	,0.5	,0.2	,113.5	,3.4	,26.4	,44.6	,54.7	,88.0	,27.3	,49.1	,31.4	,88.7	,40.6	,9.1	,5.5	,36.1	,26.4	,5.8	,25.4	,
江苏省	,1246.3	,1.5	,3.5	,446.5	,15.0	,138.3	,49.6	,42.0	,56.0	,23.0	,48.1	,31.5	,61.8	,31.1	,13.7	,6.7	,109.5	,62.5	,9.5	,96.3	,
浙江省	,1112.1	,1.0	,0.4	,353.4	,13.5	,126.1	,40.8	,38.5	,48.8	,18.1	,51.4	,33.9	,99.1	,29.4	,11.8	,5.2	,88.7	,58.9	,8.1	,84.9	,
安徽省	,627.4	,1.9	,11.7	,173.9	,9.3	,65.6	,25.8	,15.4	,24.3	,9.2	,21.4	,17.2	,44.6	,13.3	,12.0	,3.0	,70.9	,37.8	,3.9	,66.2	,
福建省	,530.6	,1.0	,1.0	,133.3	,10.6	,76.2	,21.1	,10.6	,24.4	,10.2	,22.6	,14.4	,37.8	,8.5	,7.2	,4.1	,62.3	,28.3	,4.3	,52.8	,
江西省	,410.8	,1.1	,2.1	,100.6	,9.6	,38.1	,16.3	,6.1	,15.8	,5.1	,16.9	,9.3	,10.1	,7.9	,10.3	,1.3	,65.4	,32.0	,3.7	,59.4	,
山东省	,1099.4	,2.0	,22.7	,271.6	,26.8	,107.0	,42.6	,23.5	,51.5	,15.0	,56.6	,32.8	,45.7	,27.3	,17.4	,4.0	,129.8	,80.5	,8.5	,134.1	,
河南省	,796.9	,1.2	,22.0	,135.8	,22.1	,79.4	,32.8	,21.4	,30.5	,7.7	,28.6	,21.8	,26.4	,18.5	,15.6	,4.3	,126.7	,74.5	,6.2	,121.3	,
湖北省	,610.7	,1.4	,2.8	,124.9	,10.9	,84.8	,29.1	,16.9	,30.4	,10.1	,23.5	,20.6	,36.7	,17.1	,9.1	,3.9	,70.2	,46.7	,5.9	,65.8	,
湖南省	,567.8	,1.5	,3.8	,103.9	,15.6	,76.7	,23.3	,10.4	,23.5	,7.0	,27.5	,12.8	,14.9	,12.4	,9.2	,3.0	,84.3	,47.1	,6.8	,84.1	,
广东省	,2049.4	,1.5	,1.5	,783.9	,24.9	,112.7	,74.6	,85.2	,102.7	,45.3	,79.8	,92.9	,126.9	,51.6	,22.2	,15.3	,165.3	,97.4	,13.0	,152.7	,
广西壮族自治区	,387.1	,3.3	,0.8	,54.9	,8.4	,21.6	,17.9	,5.6	,12.6	,5.0	,17.6	,7.6	,20.9	,8.8	,6.7	,1.3	,81.0	,43.8	,3.9	,65.3	,
海南省	,105.8	,3.1	,0.5	,8.1	,2.0	,2.1	,6.7	,2.1	,6.8	,4.6	,4.8	,8.0	,4.5	,2.9	,5.2	,0.8	,17.1	,8.6	,1.8	,16.2	,
重庆市	,331.3	,0.4	,0.4	,61.2	,6.8	,45.1	,19.4	,7.1	,13.7	,3.3	,23.5	,14.0	,15.3	,7.5	,7.0	,0.6	,43.9	,23.1	,2.7	,36.4	,
四川省	,821.2	,1.4	,9.9	,143.1	,20.0	,86.6	,36.3	,26.6	,37.0	,18.6	,32.1	,27.3	,48.7	,25.4	,10.3	,4.6	,109.1	,67.3	,6.9	,110.0	,
贵州省	,319.3	,1.3	,14.9	,34.2	,8.6	,20.5	,12.2	,4.8	,11.8	,3.3	,12.1	,7.6	,10.6	,6.0	,6.0	,2.3	,66.9	,31.5	,2.7	,61.9	,
云南省	,334.1	,1.4	,4.7	,35.8	,10.3	,19.8	,15.6	,4.9	,15.2	,5.2	,12.3	,8.3	,14.3	,8.8	,6.7	,1.4	,63.6	,34.5	,3.6	,67.5	,
西藏自治区	,47.3	,0.0	,0.7	,1.2	,1.4	,1.0	,2.2	,1.6	,2.1	,0.6	,1.8	,0.8	,1.6	,1.3	,0.6	,0.1	,5.6	,3.0	,0.8	,21.0	,
陕西省	,476.0	,1.8	,28.2	,77.9	,13.9	,35.5	,25.9	,15.4	,20.5	,8.6	,20.2	,14.9	,15.5	,16.0	,10.6	,1.9	,61.9	,36.3	,5.9	,65.1	,
甘肃省	,239.4	,1.6	,7.3	,26.0	,9.6	,15.3	,14.0	,3.2	,7.9	,2.4	,11.7	,5.8	,5.5	,7.4	,6.9	,0.4	,40.7	,22.0	,3.2	,48.6	,
青海省	,69.5	,0.8	,2.2	,9.8	,2.4	,3.0	,4.9	,0.9	,2.0	,0.5	,3.4	,1.7	,2.7	,2.2	,1.0	,0.2	,9.4	,6.4	,1.0	,15.3	,
宁夏回族自治区	,79.2	,0.8	,6.4	,13.7	,3.6	,2.2	,4.1	,1.1	,2.5	,0.4	,3.9	,1.7	,2.1	,1.6	,2.3	,0.1	,12.4	,6.3	,1.1	,12.9	,
新疆维吾尔自治区	,318.0	,1.8	,13.5	,36.6	,10.5	,19.3	,17.8	,4.3	,9.8	,3.0	,11.2	,6.6	,12.6	,6.7	,5.7	,0.8	,51.8	,24.9	,3.1	,77.9	,
注：1. 全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算,2001年及以后数据根据第六次人口普查数据重新修订。
2. 城镇单位数据不含私营单位。
3. 2012年行业采用新的分类标准,与前期不可比。
数据来源：国家统计局
