数据库：分省年度数据 
时间：2024年 
地区	,地区生产总值指数 (上年=100) 	,第一产业增加值指数 (上年=100) 	,第二产业增加值指数 (上年=100) 	,第三产业增加值指数 (上年=100) 	,
北京市	,105.1	,100.6	,105.3	,105.0	,
天津市	,104.9	,103.8	,105.0	,104.9	,
河北省	,105.4	,103.3	,105.6	,105.6	,
山西省	,102.2	,103.9	,101.0	,103.0	,
内蒙古自治区	,105.8	,105.7	,106.8	,105.1	,
辽宁省	,105.1	,105.0	,104.5	,105.4	,
吉林省	,104.2	,104.5	,103.6	,104.4	,
黑龙江省	,103.2	,103.0	,99.3	,104.9	,
上海市	,104.9	,98.7	,102.1	,105.7	,
江苏省	,105.7	,102.9	,105.2	,106.3	,
浙江省	,105.5	,103.5	,106.0	,105.2	,
安徽省	,105.8	,103.1	,107.1	,105.2	,
福建省	,105.4	,103.4	,105.2	,105.8	,
江西省	,105.1	,103.2	,106.1	,104.6	,
山东省	,105.6	,103.6	,105.9	,105.6	,
河南省	,105.1	,103.2	,106.3	,104.5	,
湖北省	,105.6	,103.0	,105.5	,106.1	,
湖南省	,104.7	,102.9	,104.9	,104.9	,
广东省	,103.5	,103.4	,104.6	,102.7	,
广西壮族自治区	,104.2	,104.3	,105.6	,103.3	,
海南省	,103.8	,102.0	,105.8	,103.7	,
重庆市	,105.6	,101.8	,104.0	,107.2	,
四川省	,105.6	,102.9	,104.7	,106.7	,
贵州省	,105.3	,103.7	,106.2	,105.2	,
云南省	,103.2	,102.6	,101.9	,104.2	,
西藏自治区	,106.5	,112.5	,107.7	,105.0	,
陕西省	,105.2	,103.4	,105.7	,105.1	,
甘肃省	,105.8	,106.7	,107.0	,105.0	,
青海省	,102.8	,103.5	,102.7	,102.6	,
宁夏回族自治区	,105.5	,106.2	,106.8	,104.4	,
新疆维吾尔自治区	,106.1	,106.2	,108.5	,104.4	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
