数据库：分省年度数据 
时间：2024年 
地区	,居民消费价格指数 (上年=100) 	,城市居民消费价格指数 (上年=100) 	,农村居民消费价格指数 (上年=100) 	,商品零售价格指数 (上年=100) 	,城市商品零售价格指数 (上年=100) 	,农村商品零售价格指数 (上年=100) 	,
北京市	,100.1	,100.1	,	,	,	,	,
天津市	,100.2	,100.2	,	,	,	,	,
河北省	,100.2	,100.0	,100.5	,	,	,	,
山西省	,100.1	,100.2	,99.9	,	,	,	,
内蒙古自治区	,100.2	,100.2	,100.1	,	,	,	,
辽宁省	,100.2	,100.2	,100.5	,	,	,	,
吉林省	,100.0	,100.0	,100.1	,	,	,	,
黑龙江省	,100.5	,100.4	,100.6	,	,	,	,
上海市	,100.0	,100.0	,	,	,	,	,
江苏省	,100.5	,100.4	,100.9	,	,	,	,
浙江省	,100.3	,100.2	,100.3	,	,	,	,
安徽省	,100.5	,100.5	,100.6	,	,	,	,
福建省	,99.9	,99.9	,99.9	,	,	,	,
江西省	,100.5	,100.6	,100.3	,	,	,	,
山东省	,100.2	,100.2	,100.2	,	,	,	,
河南省	,100.3	,100.2	,100.6	,	,	,	,
湖北省	,100.4	,100.5	,100.2	,	,	,	,
湖南省	,100.5	,100.5	,100.5	,	,	,	,
广东省	,100.0	,100.1	,99.5	,	,	,	,
广西壮族自治区	,100.2	,100.0	,100.6	,	,	,	,
海南省	,100.0	,100.1	,99.7	,	,	,	,
重庆市	,100.2	,100.2	,	,	,	,	,
四川省	,100.0	,99.9	,100.0	,	,	,	,
贵州省	,100.1	,100.1	,100.2	,	,	,	,
云南省	,100.2	,100.1	,100.4	,	,	,	,
西藏自治区	,100.0	,100.3	,99.6	,	,	,	,
陕西省	,100.1	,100.2	,100.0	,	,	,	,
甘肃省	,100.4	,100.5	,100.2	,	,	,	,
青海省	,100.5	,100.2	,101.3	,	,	,	,
宁夏回族自治区	,99.7	,99.6	,99.7	,	,	,	,
新疆维吾尔自治区	,100.4	,100.6	,100.0	,	,	,	,
数据来源：国家统计局
