数据库：分省年度数据 
时间：2016年-2025年 
地区	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
北京市	,	,105.1	,105.5	,101.0	,109.2	,101.4	,106.4	,106.9	,107.0	,107.0	,
天津市	,	,104.9	,104.5	,101.2	,106.8	,101.5	,104.8	,103.2	,103.2	,105.8	,
河北省	,	,105.4	,105.7	,103.8	,106.7	,104.0	,106.9	,106.5	,106.6	,106.7	,
山西省	,	,102.2	,105.1	,104.4	,109.4	,103.7	,106.3	,106.4	,106.7	,104.0	,
内蒙古自治区	,	,105.8	,107.4	,104.5	,106.9	,100.3	,105.4	,105.2	,104.0	,106.8	,
辽宁省	,	,105.1	,105.5	,102.2	,106.0	,100.8	,105.6	,105.6	,104.2	,100.6	,
吉林省	,	,104.2	,106.5	,98.1	,106.6	,102.4	,103.1	,104.5	,105.2	,106.5	,
黑龙江省	,	,103.2	,102.8	,102.8	,106.2	,101.0	,104.1	,104.3	,105.8	,104.3	,
上海市	,	,104.9	,105.3	,100.2	,108.7	,102.0	,106.3	,106.9	,107.2	,107.1	,
江苏省	,	,105.7	,105.9	,102.7	,109.1	,103.8	,106.0	,106.5	,107.0	,107.6	,
浙江省	,	,105.5	,106.2	,103.4	,108.9	,103.8	,107.0	,107.3	,107.8	,107.7	,
安徽省	,	,105.8	,105.8	,103.3	,108.2	,103.7	,107.4	,107.8	,108.4	,108.6	,
福建省	,	,105.4	,104.5	,104.2	,108.3	,103.2	,107.5	,108.1	,107.9	,108.2	,
江西省	,	,105.1	,104.2	,104.3	,108.9	,103.8	,107.9	,108.5	,108.6	,108.8	,
山东省	,	,105.6	,106.1	,104.0	,108.5	,103.6	,105.4	,106.5	,107.5	,107.5	,
河南省	,	,105.1	,104.2	,102.4	,105.9	,101.1	,106.8	,107.6	,107.6	,108.4	,
湖北省	,	,105.6	,106.1	,104.0	,112.9	,94.6	,107.3	,107.6	,107.8	,108.2	,
湖南省	,	,104.7	,104.7	,104.2	,107.6	,103.8	,107.6	,107.6	,107.9	,107.9	,
广东省	,	,103.5	,104.9	,102.1	,108.3	,102.4	,106.3	,106.7	,107.5	,107.8	,
广西壮族自治区	,	,104.2	,104.1	,102.8	,107.9	,103.7	,106.0	,106.8	,107.1	,107.0	,
海南省	,	,103.8	,109.2	,100.4	,111.4	,103.6	,105.9	,106.0	,106.9	,107.7	,
重庆市	,	,105.6	,106.2	,102.5	,108.4	,103.9	,106.3	,105.9	,109.1	,110.5	,
四川省	,	,105.6	,106.1	,102.9	,108.3	,103.8	,107.4	,107.8	,107.9	,107.6	,
贵州省	,	,105.3	,105.1	,101.2	,108.3	,104.6	,108.4	,108.9	,110.1	,110.4	,
云南省	,	,103.2	,104.5	,104.3	,107.4	,104.1	,108.3	,108.7	,109.3	,108.5	,
西藏自治区	,	,106.5	,109.7	,101.4	,107.0	,108.1	,108.3	,108.8	,110.2	,110.3	,
陕西省	,	,105.2	,104.3	,104.5	,106.7	,102.1	,106.1	,108.2	,107.7	,107.5	,
甘肃省	,	,105.8	,106.6	,104.6	,107.1	,104.0	,106.4	,105.9	,103.3	,107.6	,
青海省	,	,102.8	,105.4	,102.5	,105.9	,101.7	,106.3	,107.0	,107.1	,107.9	,
宁夏回族自治区	,	,105.5	,106.7	,104.3	,106.9	,104.1	,106.7	,106.6	,107.1	,107.2	,
新疆维吾尔自治区	,	,106.1	,107.0	,103.6	,107.4	,103.6	,106.3	,105.9	,107.5	,107.7	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
