数据库：年度数据 
时间： 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
居民消费价格指数 (上年=100) 	,100.0	,100.2	,100.2	,102.0	,100.9	,102.5	,102.9	,102.1	,101.6	,102.0	,
城市居民消费价格指数 (上年=100) 	,100.1	,100.2	,100.3	,102.0	,101.0	,102.3	,102.8	,102.1	,101.7	,102.1	,
农村居民消费价格指数 (上年=100) 	,99.8	,100.3	,100.1	,102.0	,100.7	,103.0	,103.2	,102.1	,101.3	,101.9	,
商品零售价格指数 (上年=100) 	,	,	,	,102.7	,101.6	,101.4	,102.0	,101.9	,101.1	,100.7	,
工业生产者出厂价格指数 (上年=100) 	,97.4	,97.8	,97.0	,104.1	,108.1	,98.2	,99.7	,103.5	,106.3	,98.6	,
工业生产者购进价格指数 (上年=100) 	,97.0	,97.8	,96.4	,106.1	,111.0	,97.7	,99.3	,104.1	,108.1	,98.0	,
固定资产投资价格指数 (上年=100) 	,	,	,	,	,	,	,102.6	,105.4	,105.8	,99.4	,
注：1. 国家统计局从2011年1月开始实施新的工业生产者价格统计调查制度方法。"工业品价格统计"改称为"工业生产者价格统计",将"工业品出厂价格指数"改称为"工业生产者出厂价格指数"。
2. 国家统计局从2011年1月开始实施新的工业生产者价格统计调查制度方法。"工业品价格统计"改称为"工业生产者价格统计",相应地将"原材料、燃料、动力购进价格指数"改称为"工业生产者购进价格指数"。
数据来源：国家统计局
