数据库：分省年度数据 
时间： 
地区	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
北京市	,100.1	,100.4	,101.8	,101.1	,101.7	,102.3	,102.5	,101.9	,101.4	,
天津市	,100.2	,100.4	,101.9	,101.3	,102.0	,102.7	,102.0	,102.1	,102.1	,
河北省	,100.2	,100.6	,101.8	,101.0	,102.1	,103.0	,102.4	,101.7	,101.5	,
山西省	,100.1	,99.9	,102.1	,101.0	,102.9	,102.7	,101.8	,101.1	,101.1	,
内蒙古自治区	,100.2	,100.6	,101.8	,100.9	,101.9	,102.4	,101.8	,101.7	,101.2	,
辽宁省	,100.2	,100.1	,102.0	,101.1	,102.4	,102.4	,102.5	,101.4	,101.6	,
吉林省	,100.0	,99.9	,102.1	,100.6	,102.3	,103.0	,102.1	,101.6	,101.6	,
黑龙江省	,100.5	,100.6	,101.9	,100.6	,102.3	,102.8	,102.0	,101.3	,101.5	,
上海市	,100.0	,100.3	,102.5	,101.2	,101.7	,102.5	,101.6	,101.7	,103.2	,
江苏省	,100.5	,100.4	,102.2	,101.6	,102.5	,103.1	,102.3	,101.7	,102.3	,
浙江省	,100.3	,100.3	,102.2	,101.5	,102.3	,102.9	,102.3	,102.1	,101.9	,
安徽省	,100.5	,100.2	,102.0	,100.9	,102.7	,102.7	,102.0	,101.2	,101.8	,
福建省	,99.9	,100.0	,101.9	,100.7	,102.2	,102.6	,101.5	,101.2	,101.7	,
江西省	,100.5	,100.3	,102.0	,100.9	,102.6	,102.9	,102.1	,102.0	,102.0	,
山东省	,100.2	,100.1	,101.7	,101.2	,102.8	,103.2	,102.5	,101.5	,102.1	,
河南省	,100.3	,99.8	,101.5	,100.9	,102.8	,103.0	,102.3	,101.4	,101.9	,
湖北省	,100.4	,100.1	,102.1	,100.3	,102.7	,103.1	,101.9	,101.5	,102.2	,
湖南省	,100.5	,100.2	,101.8	,100.5	,102.3	,102.9	,102.0	,101.4	,101.9	,
广东省	,100.0	,100.4	,102.2	,100.8	,102.6	,103.4	,102.2	,101.5	,102.3	,
广西壮族自治区	,100.2	,99.8	,101.9	,100.9	,102.8	,103.7	,102.3	,101.6	,101.6	,
海南省	,100.0	,100.3	,101.6	,100.3	,102.3	,103.4	,102.5	,102.8	,102.8	,
重庆市	,100.2	,99.7	,102.1	,100.3	,102.3	,102.7	,102.0	,101.0	,101.8	,
四川省	,100.0	,100.0	,102.0	,100.3	,103.2	,103.2	,101.7	,101.4	,101.9	,
贵州省	,100.1	,99.7	,101.6	,100.1	,102.6	,102.4	,101.8	,100.9	,101.4	,
云南省	,100.2	,100.3	,101.6	,100.2	,103.6	,102.5	,101.6	,100.9	,101.5	,
西藏自治区	,100.0	,99.9	,101.5	,100.9	,102.2	,102.3	,101.7	,101.6	,102.5	,
陕西省	,100.1	,100.1	,102.1	,101.5	,102.5	,102.9	,102.1	,101.6	,101.3	,
甘肃省	,100.4	,100.5	,101.9	,100.9	,102.0	,102.3	,102.0	,101.4	,101.3	,
青海省	,100.5	,100.5	,102.4	,101.3	,102.6	,102.5	,102.5	,101.5	,101.8	,
宁夏回族自治区	,99.7	,100.4	,102.3	,101.4	,101.5	,102.1	,102.3	,101.6	,101.5	,
新疆维吾尔自治区	,100.4	,100.0	,101.8	,101.2	,101.5	,101.9	,102.0	,102.2	,101.4	,
数据来源：国家统计局
