数据库：分省年度数据 
时间：2021年-2025年 
地区	,2025年	,2024年	,2023年	,2022年	,2021年	,
北京市	,	,112.2	,115.1	,111.5	,111.4	,
天津市	,	,284.5	,270.5	,273.2	,265.9	,
河北省	,	,4519.9	,4463.0	,4408.4	,4029.3	,
山西省	,	,1392.4	,1365.2	,1335.3	,1286.7	,
内蒙古自治区	,	,2876.9	,2644.2	,2655.1	,2354.6	,
辽宁省	,	,2658.5	,2642.2	,2598.0	,2462.1	,
吉林省	,	,1590.7	,1644.9	,1689.1	,1554.0	,
黑龙江省	,	,3249.8	,3542.1	,3635.3	,3463.9	,
上海市	,	,98.7	,100.7	,100.0	,96.0	,
江苏省	,	,5240.6	,5075.9	,4963.9	,4719.1	,
浙江省	,	,2584.0	,2463.0	,2185.2	,2211.9	,
安徽省	,	,3564.6	,3494.8	,3516.5	,3363.9	,
福建省	,	,3296.0	,3220.1	,3077.5	,2900.0	,
江西省	,	,2607.8	,2436.4	,2466.4	,2334.0	,
山东省	,	,6612.1	,6500.6	,6296.2	,6026.9	,
河南省	,	,5486.3	,5353.0	,5731.0	,5626.1	,
湖北省	,	,5459.5	,5068.2	,4981.9	,4634.0	,
湖南省	,	,4898.6	,4617.4	,4601.2	,4322.3	,
广东省	,	,5852.7	,5555.2	,5350.0	,4985.1	,
广西壮族自治区	,	,4765.2	,4466.8	,4270.4	,4051.8	,
海南省	,	,1626.1	,1506.9	,1417.8	,1254.5	,
重庆市	,	,2078.8	,2033.7	,2012.6	,1922.3	,
四川省	,	,5733.5	,5455.6	,5965.5	,5662.8	,
贵州省	,	,2965.9	,2883.3	,2862.2	,2730.5	,
云南省	,	,4193.3	,4191.4	,4001.9	,3832.3	,
西藏自治区	,	,256.7	,218.7	,186.2	,164.1	,
陕西省	,	,2621.8	,2649.1	,2574.9	,2409.5	,
甘肃省	,	,1629.1	,1636.6	,1499.7	,1364.8	,
青海省	,	,360.2	,387.3	,382.6	,357.1	,
宁夏回族自治区	,	,451.2	,428.0	,407.5	,364.6	,
新疆维吾尔自治区	,	,2571.1	,2739.6	,2653.8	,2358.7	,
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
