province,year,gdp,gdp_growth,primary_value,secondary_value,tertiary_value,primary_share,secondary_share,tertiary_share,retail,income,consumption_expenditure,cpi,unemployment,fixed_invest,fiscal_revenue
北京市,2021,44350.7,9.200000000000003,111.4,7732.2,36507.1,0.2511798009952492,17.43422313514781,82.31459706385694,14897.3,75002.0,43640.0,101.1,4.669260700389105,11.2,5932.31
天津市,2021,16093.2,6.799999999999997,265.9,5780.5,10046.8,1.6522506400218722,35.91889742251386,62.42885193746426,4029.3,47449.0,33188.0,101.3,9.686509334272632,3.2,2141.06
河北省,2021,41205.4,6.700000000000003,4029.3,16450.8,20725.3,9.77857271134366,39.923893470273306,50.29753381838302,12896.3,29383.0,19954.0,101.0,6.631474760805014,-2.4,4167.62
山西省,2021,23087.8,9.400000000000006,1286.7,10892.5,10908.6,5.573073224820035,47.17859648818857,47.248330286991404,7462.8,27426.0,17191.0,101.0,4.320587599913588,8.8,2834.47
内蒙古自治区,2021,21584.8,6.900000000000006,2354.6,9646.5,9583.6,10.908602349801711,44.691171565175495,44.399762796041664,4811.7,34108.0,22658.0,100.9,10.2280348759222,7.2,2349.95
辽宁省,2021,28471.0,6.0,2462.1,10664.9,15344.0,8.64774683010783,37.458817744371466,53.89343542552071,9492.8,35112.0,23831.0,101.1,9.432469843780899,-5.7,2765.59
吉林省,2021,13431.1,6.599999999999994,1554.0,4713.7,7163.4,11.57016178868447,35.09541288502058,53.33442532629494,4183.9,27770.0,19605.0,100.6,6.975894813732651,1.7,1143.98
黑龙江省,2021,15292.8,6.200000000000003,3463.9,4082.3,7746.6,22.65052835321197,26.69426135174723,50.65521029504081,5376.9,27159.0,20636.0,100.6,8.389755666764792,-1.5,1300.51
上海市,2021,47059.4,8.700000000000003,96.0,11425.4,35538.0,0.2039975010306124,24.278677586199567,75.51732491276981,16818.3,78027.0,48879.0,101.2,8.92,10.7,7771.8
江苏省,2021,119853.2,9.099999999999994,4719.1,53575.8,61558.4,3.937400086105336,44.701184448975916,51.3614989003214,41261.1,47498.0,31451.0,101.6,3.602083486171228,6.2,10015.16
浙江省,2021,76765.3,8.900000000000006,2211.9,31370.7,43182.7,2.8813799985149537,40.86572969818395,56.25289030330109,31200.7,57541.0,36668.0,101.5,4.194832854893972,7.7,8262.64
安徽省,2021,43102.8,8.200000000000003,3363.9,16925.5,22813.5,7.80436537765528,39.26775058696882,52.92811603886523,20858.8,30904.0,21911.0,100.9,4.315324498810737,10.6,3498.19
福建省,2021,49602.6,8.299999999999997,2900.0,22434.5,24268.2,5.846467725482133,45.22847592666513,48.9252579501881,21072.2,40659.0,28440.0,100.7,6.158833063209076,6.6,3383.4
江西省,2021,29838.2,8.900000000000006,2334.0,12559.3,14945.0,7.822187665475799,42.09134599272073,50.086801482663155,11431.0,30610.0,20290.0,100.9,6.256539024900606,6.7,2812.23
山东省,2021,84838.0,8.5,6026.9,34084.0,44727.1,7.104009995520874,40.17539310214762,52.72059690233149,34863.4,35705.0,22821.0,101.2,5.330144358076364,4.3,7284.46
河南省,2021,57806.9,5.900000000000006,5626.1,22571.0,29609.7,9.732575177011741,39.0455118679604,51.22173996529826,24391.4,26811.0,18391.0,100.9,6.658509228102376,5.4,4353.92
湖北省,2021,50093.3,12.900000000000006,4634.0,19241.3,26218.0,9.25073812266311,38.41092521355151,52.33833666378538,22561.1,30829.0,23846.0,100.3,7.382357173694057,-0.6,3283.32
湖南省,2021,45751.9,7.599999999999994,4322.3,17325.9,24103.7,9.447257928086048,37.86924696023553,52.683495111678425,18176.8,31993.0,22798.0,100.5,4.371153542685812,10.4,3250.69
