province,gdp,gdp_growth,primary_value,secondary_value,tertiary_value,primary_share,secondary_share,tertiary_share,retail,income,consumption_expenditure,cpi,unemployment,fixed_invest,fiscal_revenue
北京市,49670.2,5.099999999999994,112.2,7147.8,42410.2,0.22588997024372762,14.390519869056295,85.38359016069997,14092.4,85415.0,49748.0,100.1,2.434767431713064,3.2,6372.68
天津市,17931.3,4.900000000000006,284.5,6213.1,11433.7,1.586611121335319,34.64946769057459,63.76392118809011,4128.3,53581.0,35804.0,100.2,1.8879603837821104,5.1,2134.2
河北省,47448.1,5.400000000000006,4519.9,17480.1,25448.1,9.5259873419589,36.84046358020658,53.633549077834516,14657.4,34665.0,24253.0,100.2,0.2786898816257829,3.1,4310.85
山西省,25353.5,2.200000000000003,1392.4,10847.7,13113.3,5.491943913069202,42.785808665470256,51.72185299859979,7670.9,32441.0,21090.0,100.1,0.266824785057812,6.8,3542.24
内蒙古自治区,26337.0,5.799999999999997,2876.9,11549.3,11910.8,10.923415726924098,43.85199529179481,45.22458898128108,5152.9,40077.0,28113.0,100.2,0.3327787021630615,3.2,3150.57
辽宁省,32540.8,5.099999999999994,2658.5,11322.3,18560.1,8.169743829285082,34.794166093027826,57.03639738420691,10228.9,39844.0,25963.0,100.2,1.139234472567806,13.6,2906.94
吉林省,14305.0,4.200000000000003,1590.7,4521.1,8193.2,11.119888150996156,31.605033205173015,57.27507864383084,4232.1,31318.0,23118.0,100.0,0.3861003861003861,5.3,1191.39
黑龙江省,16478.1,3.200000000000003,3249.8,4167.3,9061.0,19.721933960832867,25.28993027108708,54.988135768080056,5445.7,31269.0,23467.0,100.5,0.3740743568211314,0.7,1452.34
上海市,53759.5,4.900000000000006,98.7,11562.7,42098.1,0.18359545754703818,21.508198550953786,78.30820599149916,15872.3,88366.0,52722.0,100.0,2.528398680835471,6.0,8374.17
江苏省,136696.9,5.700000000000003,5240.6,58905.0,72551.3,3.833737268365267,43.091686790263715,53.07457594137103,44922.1,55415.0,37346.0,100.5,0.9813035843404608,4.8,10038.16
浙江省,90007.0,5.5,2584.0,34732.4,52690.6,2.870887819836235,38.588554223560386,58.54055795660338,37707.7,67013.0,45107.0,100.3,0.984102952308857,1.5,8707.57
安徽省,50646.7,5.799999999999997,3564.6,19541.5,27540.6,7.038168330809312,38.58395512442074,54.37787654476994,22908.4,36782.0,24996.0,100.5,0.3519577650681918,0.4,4041.64
福建省,57476.6,5.400000000000006,3296.0,24449.8,29730.9,5.734507608313645,42.538702706840695,51.726963668693,24370.8,47857.0,33876.0,99.9,0.5214050493962679,4.7,3615.29
江西省,34227.9,5.099999999999994,2607.8,13590.7,18029.4,7.61893075531949,39.70649674680597,52.674572497874536,12821.7,36007.0,24726.0,100.5,0.2405482685063313,3.9,3066.92
山东省,98406.9,5.599999999999994,6612.1,39347.9,52446.9,6.7191426617442485,39.98489943286497,53.29595790539079,40059.2,42077.0,25645.0,100.2,0.6040431619695921,4.8,7711.74
河南省,63557.1,5.099999999999994,5486.3,24131.3,33939.5,8.632080444198996,37.96790602466129,53.40001353113971,27560.4,31552.0,21956.0,100.3,0.2576676917961932,3.3,4392.67
湖北省,59644.3,5.599999999999994,5459.5,21267.8,32917.1,9.153431258309679,35.65772420834849,55.1890121939565,27206.2,36947.0,27888.0,100.4,0.4742274432011902,7.0,3937.88
湖南省,53084.7,4.700000000000003,4898.6,19308.9,28877.2,9.227894289691758,36.37375741032727,54.39834829998098,20463.9,37679.0,26760.0,100.5,0.4079598891345645,6.5,3449.27
广东省,141488.9,3.5,5852.7,54367.1,81269.1,4.1365082349216085,38.42499305599238,57.43849870908602,45029.2,51474.0,35818.0,100.0,0.7840602517985611,2.8,13533.98
广西壮族自治区,28694.1,4.200000000000003,4765.2,9330.0,14599.0,16.606898282225266,32.51539515091953,50.87805507055457,8151.7,31125.0,21150.0,100.2,0.4610142313088795,-4.5,1837.32
海南省,7972.7,3.799999999999997,1626.1,1500.4,4846.2,20.395850840994896,18.81922059026428,60.784928568740824,2546.1,34829.0,25908.0,100.0,0.8636200071968334,-3.2,890.51
重庆市,32046.7,5.599999999999994,2078.8,11484.6,18483.4,6.486783350547795,35.83707526828036,57.67645342578175,16190.4,39713.0,27451.0,100.2,0.8467959882289352,7.1,2595.55
四川省,64537.9,5.599999999999994,5733.5,22599.4,36204.9,8.883927118793764,35.01725342783078,56.09866450566257,27709.8,34325.0,24878.0,100.0,0.6307803776158206,0.1,5635.6
贵州省,22645.7,5.299999999999997,2965.9,7043.9,12635.9,13.096967636239992,31.104801353016242,55.79823101074376,9211.5,28561.0,20871.0,100.1,0.3678234447465217,2.4,2170.0
云南省,31423.4,3.200000000000003,4193.3,10243.6,16986.4,13.344513960933572,32.598636684763584,54.056531120120674,12490.8,29932.0,22280.0,100.2,0.2983315531656292,0.6,2193.68
西藏自治区,2789.1,6.5,256.7,1018.8,1513.5,9.203685776773868,36.52791222975153,54.264816607507804,1032.8,31358.0,18983.0,100.0,0.1024590163934426,-7.7,277.19
